#SDATE 2007-06-24 12:00:00
#EDATE 2007-06-25 12:00:00
#C_D_AV 0.8416307082904233
#C_D_MAX 3.0423431892785335
#C_CD_AV 0.29976886088435023
#C_CD_MAX 0.7404752587508302
#C_PD_AV 0.14279783206331667
#C_PD_MAX 0.4288836156014019
#C_LN 98
#C_CL 1.3191766109785203
#C_L 2.38886861575179
#C_PL 3.683542442322991
#C_UL 1.5612767026164154
C_D 2007-06-24 12:00:00 0.0
C_D 2007-06-24 12:05:00 0.0
C_D 2007-06-24 12:10:00 0.0
C_D 2007-06-24 12:15:00 0.0
C_D 2007-06-24 12:20:00 0.0
C_D 2007-06-24 12:25:00 0.0
C_D 2007-06-24 12:30:00 0.0
C_D 2007-06-24 12:35:00 0.0
C_D 2007-06-24 12:40:00 0.0
C_D 2007-06-24 12:45:00 0.0
C_D 2007-06-24 12:50:00 0.0
C_D 2007-06-24 12:55:00 0.0
C_D 2007-06-24 13:00:00 0.0
C_D 2007-06-24 13:05:00 0.0
C_D 2007-06-24 13:10:00 0.0
C_D 2007-06-24 13:15:00 0.0
C_D 2007-06-24 13:20:00 0.0
C_D 2007-06-24 13:25:00 0.0
C_D 2007-06-24 13:30:00 0.0
C_D 2007-06-24 13:35:00 0.0
C_D 2007-06-24 13:40:00 0.0
C_D 2007-06-24 13:45:00 0.0
C_D 2007-06-24 13:50:00 0.0
C_D 2007-06-24 13:55:00 0.0
C_D 2007-06-24 14:00:00 0.0
C_D 2007-06-24 14:05:00 0.0
C_D 2007-06-24 14:10:00 0.0
C_D 2007-06-24 14:15:00 0.0
C_D 2007-06-24 14:20:00 0.0
C_D 2007-06-24 14:25:00 0.0
C_D 2007-06-24 14:30:00 0.0
C_D 2007-06-24 14:35:00 0.0
C_D 2007-06-24 14:40:00 0.0
C_D 2007-06-24 14:45:00 0.0
C_D 2007-06-24 14:50:00 0.0
C_D 2007-06-24 14:55:00 0.0
C_D 2007-06-24 15:00:00 0.0
C_D 2007-06-24 15:05:00 0.0
C_D 2007-06-24 15:10:00 0.0
C_D 2007-06-24 15:15:00 0.0
C_D 2007-06-24 15:20:00 0.0
C_D 2007-06-24 15:25:00 0.0
C_D 2007-06-24 15:30:00 0.0
C_D 2007-06-24 15:35:00 0.0
C_D 2007-06-24 15:40:00 0.0
C_D 2007-06-24 15:45:00 0.0
C_D 2007-06-24 15:50:00 0.0
C_D 2007-06-24 15:55:00 0.0
C_D 2007-06-24 16:00:00 0.0
C_D 2007-06-24 16:05:00 0.0
C_D 2007-06-24 16:10:00 0.0
C_D 2007-06-24 16:15:00 0.0
C_D 2007-06-24 16:20:00 0.0
C_D 2007-06-24 16:25:00 0.0
C_D 2007-06-24 16:30:00 0.0
C_D 2007-06-24 16:35:00 0.0
C_D 2007-06-24 16:40:00 0.0
C_D 2007-06-24 16:45:00 0.0
C_D 2007-06-24 16:50:00 0.0
C_D 2007-06-24 16:55:00 0.0
C_D 2007-06-24 17:00:00 0.0
C_D 2007-06-24 17:05:00 0.0
C_D 2007-06-24 17:10:00 0.0
C_D 2007-06-24 17:15:00 0.0
C_D 2007-06-24 17:20:00 0.0
C_D 2007-06-24 17:25:00 0.0
C_D 2007-06-24 17:30:00 0.0
C_D 2007-06-24 17:35:00 0.0
C_D 2007-06-24 17:40:00 0.0
C_D 2007-06-24 17:45:00 0.0
C_D 2007-06-24 17:50:00 0.0
C_D 2007-06-24 17:55:00 0.0
C_D 2007-06-24 18:00:00 0.0
C_D 2007-06-24 18:05:00 0.0
C_D 2007-06-24 18:10:00 0.0
C_D 2007-06-24 18:15:00 0.0
C_D 2007-06-24 18:20:00 0.0
C_D 2007-06-24 18:25:00 0.0
C_D 2007-06-24 18:30:00 0.0
C_D 2007-06-24 18:35:00 0.0
C_D 2007-06-24 18:40:00 0.0
C_D 2007-06-24 18:45:00 0.0
C_D 2007-06-24 18:50:00 0.0
C_D 2007-06-24 18:55:00 0.0
C_D 2007-06-24 19:00:00 0.0
C_D 2007-06-24 19:05:00 0.0
C_D 2007-06-24 19:10:00 0.0
C_D 2007-06-24 19:15:00 0.0
C_D 2007-06-24 19:20:00 0.0
C_D 2007-06-24 19:25:00 0.0
C_D 2007-06-24 19:30:00 0.0
C_D 2007-06-24 19:35:00 0.0
C_D 2007-06-24 19:40:00 0.0
C_D 2007-06-24 19:45:00 0.0
C_D 2007-06-24 19:50:00 0.0
C_D 2007-06-24 19:55:00 0.0
C_D 2007-06-24 20:00:00 0.0
C_D 2007-06-24 20:05:00 0.0
C_D 2007-06-24 20:10:00 0.0
C_D 2007-06-24 20:15:00 0.0
C_D 2007-06-24 20:20:00 0.0
C_D 2007-06-24 20:25:00 0.0
C_D 2007-06-24 20:30:00 0.0
C_D 2007-06-24 20:35:00 0.0
C_D 2007-06-24 20:40:00 0.0
C_D 2007-06-24 20:45:00 0.0
C_D 2007-06-24 20:50:00 0.0
C_D 2007-06-24 20:55:00 0.0
C_D 2007-06-24 21:00:00 0.0
C_D 2007-06-24 21:05:00 0.0
C_D 2007-06-24 21:10:00 0.7450187591540776
C_D 2007-06-24 21:15:00 0.7450187591540776
C_D 2007-06-24 21:20:00 0.7450187591540776
